"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES","SHA256","SUPPLIER","COPYRIGHT_TEXT","CPE_ID","PURL","CPE23_TYPE","PACKAGE_URL","PKG_TYPE","COMPONENT_SCOPE"
"gcc-final","14.3.0","GPL-3.0-with-GCC-exception","COPYING.RUNTIME","gcc-14.3.0.tar.xz","https://mirrors.ustc.edu.cn/gnu/gcc/gcc-14.3.0","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]","e0dc77297625631ac8e50fa92fffefe899a4eb702592da5c32ef04e2293aca3a","Organization: Free Software Foundation","Copyright (c) Free Software Foundation, Inc.","cpe:2.3:a:gnu:gcc:14.3.0:*:*:*:*:*:*:*","pkg:generic/gcc-final@14.3.0","cpe:2.3:a:gnu:gcc:14.3.0:*:*:*:*:*:*:*","pkg:generic/gcc-final@14.3.0","COMPILER","buildroot-target"
"glibc","2.42-67-g4ebd33dd77eabe8d4c45232bed4b42a31d2f9edc","GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)","COPYING COPYING.LIB LICENSES","glibc-2.42-67-g4ebd33dd77eabe8d4c45232bed4b42a31d2f9edc-git4.tar.gz","https://sourceware.org/git/glibc.git","linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]","5c278e563779ed471a8ee8b607d29274d1c83ac91c88ea127a3c1ecdc22b14a1","Organization: Free Software Foundation","Copyright (c) Free Software Foundation, Inc.","cpe:2.3:a:gnu:glibc:2.42-67-g4ebd33dd77eabe8d4c45232bed4b42a31d2f9edc:*:*:*:*:*:*:*","pkg:generic/glibc@2.42-67-g4ebd33dd77eabe8d4c45232bed4b42a31d2f9edc","cpe:2.3:a:gnu:glibc:2.42-67-g4ebd33dd77eabe8d4c45232bed4b42a31d2f9edc:*:*:*:*:*:*:*","pkg:generic/glibc@2.42-67-g4ebd33dd77eabe8d4c45232bed4b42a31d2f9edc","LIBRARY","buildroot-target"
"linux-headers","6.12.69","GPL-2.0","COPYING LICENSES/preferred/GPL-2.0 LICENSES/exceptions/Linux-syscall-note","linux-headers-6.12.69.tar.gz","https://github.com/rockchip-linux/kernel","skeleton-init-common [unknown] skeleton-init-sysv [unknown]","bda0f7648bbcd0cc42cc6e25de21459789330e0e769ebb5378c5de46a0c2db2f","Organization: The Linux Foundation","Copyright (c) Linus Torvalds and contributors","cpe:2.3:o:linux:linux_headers:6.12.69:*:*:*:*:*:*:*","pkg:generic/rockchip/linux-headers@6.12.69","cpe:2.3:o:linux:linux_headers:6.12.69:*:*:*:*:*:*:*","pkg:generic/rockchip/linux-headers@6.12.69","OPERATING_SYSTEM","buildroot-target"
"alsa-lib","1.2.15.3","LGPL-2.1+ (library), GPL-2.0+ (aserver)","COPYING aserver/COPYING","alsa-lib-1.2.15.3.tar.bz2","https://www.alsa-project.org/files/pub/lib","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]","7b079d614d582cade7ab8db2364e65271d0877a37df8757ac4ac0c8970be861e","Organization: The ALSA Project","Copyright (c) Jaroslav Kysela <perex@perex.cz>","cpe:2.3:a:alsa-project:alsa-lib:1.2.15.3:*:*:*:*:*:*:*","pkg:generic/alsa-lib@1.2.15.3","cpe:2.3:a:alsa-project:alsa-lib:1.2.15.3:*:*:*:*:*:*:*","pkg:generic/alsa-lib@1.2.15.3","LIBRARY","buildroot-target"
"alsa-plugins","1.2.12","LGPL-2.1+, GPL-2.0+ (samplerate plugin)","COPYING COPYING.GPL","alsa-plugins-1.2.12.tar.bz2","https://www.alsa-project.org/files/pub/plugins","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] alsa-utils [GPL-2.0] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libsamplerate [BSD-2-Clause] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown]","7bd8a83d304e8e2d86a25895d8dcb0ef0245a8df32e271959cdbdc6af39b66f2","Organization: The ALSA Project","Copyright (c) Jaroslav Kysela <perex@perex.cz>","cpe:2.3:a:alsa-project:alsa-plugins:1.2.12:*:*:*:*:*:*:*","pkg:generic/alsa-plugins@1.2.12","cpe:2.3:a:alsa-project:alsa-plugins:1.2.12:*:*:*:*:*:*:*","pkg:generic/alsa-plugins@1.2.12","APPLICATION","buildroot-target"
"alsa-utils","1.2.15.2","GPL-2.0","COPYING","alsa-utils-1.2.15.2.tar.bz2","https://www.alsa-project.org/files/pub/utils","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libsamplerate [BSD-2-Clause] linux-headers [GPL-2.0] ncurses [MIT with advertising clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown]","7aaaafbfb01942113ec0c31e51f705910e81079205088ca2f8f137a3869e1a3a","Organization: The ALSA Project","Copyright (c) Jaroslav Kysela <perex@perex.cz>","cpe:2.3:a:alsa-project:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:generic/alsa-utils@1.2.15.2","cpe:2.3:a:alsa-project:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:generic/alsa-utils@1.2.15.2","APPLICATION","buildroot-target"
"libsamplerate","0.2.2","BSD-2-Clause","COPYING","libsamplerate-0.2.2.tar.xz","https://github.com/libsndfile/libsamplerate/releases/download/0.2.2","alsa-lib [LGPL-2.1+ (library), GPL-2.0+ (aserver)] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]","3258da280511d24b49d6b08615bbe824d0cacc9842b0e4caf11c52cf2b043893","Organization: libsamplerate upstream project","Copyright information is provided by the upstream libsamplerate license files.","cpe:2.3:a:libsamplerate_project:libsamplerate:0.2.2:*:*:*:*:*:*:*","pkg:github/libsndfile/libsamplerate@0.2.2","cpe:2.3:a:libsamplerate_project:libsamplerate:0.2.2:*:*:*:*:*:*:*","pkg:github/libsndfile/libsamplerate@0.2.2","LIBRARY","buildroot-target"
"ncurses","6.6-20251231","MIT with advertising clause","COPYING","ncurses-6.6-20251231.tar.gz","https://github.com/ThomasDickey/ncurses-snapshots/archive/v6_6_20251231","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]","9796dfb0e790bac2a994a86df83adddc1a96021cbc02c44c4f2ea886069bd91d","Organization: Thomas E. Dickey","Copyright (c) Thomas E. Dickey and contributors","cpe:2.3:a:gnu:ncurses:6.6-20251231:*:*:*:*:*:*:*","pkg:github/ThomasDickey/ncurses@6.6-20251231","cpe:2.3:a:gnu:ncurses:6.6-20251231:*:*:*:*:*:*:*","pkg:github/ThomasDickey/ncurses@6.6-20251231","APPLICATION","buildroot-target"
"alsa-ucm-conf","v1.2.6.3","BSD-3-Clause","LICENSE","alsa-ucm-conf-v1.2.6.3.tar.gz","https://github.com/alsa-project/alsa-ucm-conf/archive/v1.2.6.3","gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-sysv [unknown]","37ce894d5b420660a4483cf503fd3c33937697e0ed6962f47c42d4aed6d24199","Organization: The ALSA Project","Copyright (c) Jaroslav Kysela <perex@perex.cz>","cpe:2.3:a:alsa-project:alsa-ucm-conf:v1.2.6.3:*:*:*:*:*:*:*","pkg:github/alsa-project/alsa-ucm-conf@v1.2.6.3","cpe:2.3:a:alsa-project:alsa-ucm-conf:v1.2.6.3:*:*:*:*:*:*:*","pkg:github/alsa-project/alsa-ucm-conf@v1.2.6.3","APPLICATION","buildroot-target"
"at-spi2-core","2.58.2","LGPL-2.1+","COPYING","at-spi2-core-2.58.2.tar.xz","https://download.gnome.org/sources/at-spi2-core/2.58","dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] gcc-final [GPL-3.0-with-GCC-exception] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libffi [MIT] libglib2 [LGPL-2.1+] libxcrypt [LGPL-2.1+] libxml2 [MIT] libzlib [Zlib] linux-headers [GPL-2.0] pcre2 [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-sysv [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]","a2823b962ed16cdd5cb1fc5365029fd218394d852acd4098b321854bd6692f6e","Organization: Freedesktop.org","Copyright (c) Freedesktop.org contributors","cpe:2.3:a:at_spi2_core_project:at_spi2_core:2.58.2:*:*:*:*:*:*:*","pkg:generic/at-spi2-core@2.58.2","cpe:2.3:a:at_spi2_core_project:at_spi2_core:2.58.2:*:*:*:*:*:*:*","pkg:generic/at-spi2-core@2.58.2","APPLICATION","buildroot-target"
