"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES","SHA256","SUPPLIER","COPYRIGHT_TEXT","CPE_ID","PURL","CPE23_TYPE","PACKAGE_URL","PKG_TYPE","COMPONENT_SCOPE"
"accountsservice","23.13.9-7","GPL-2+ | GPL-3+","","","","","","Organization: Debian freedesktop.org maintainers <pkg-freedesktop-maintainers@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:accountsservice:23.13.9-7:*:*:*:*:*:*:*","pkg:deb/debian/accountsservice@23.13.9-7?arch=arm64","cpe:2.3:a:debian:accountsservice:23.13.9-7:*:*:*:*:*:*:*","pkg:deb/debian/accountsservice@23.13.9-7?arch=arm64","OPERATING_SYSTEM","debian-target"
"acl","2.3.2-2+b1","GPL-2+ | LGPL-2+","","","","","","Organization: Guillem Jover <guillem@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:acl (2.3.2-2):2.3.2-2+b1:*:*:*:*:*:*:*","pkg:deb/debian/acl (2.3.2-2)@2.3.2-2+b1?arch=arm64","cpe:2.3:a:debian:acl (2.3.2-2):2.3.2-2+b1:*:*:*:*:*:*:*","pkg:deb/debian/acl (2.3.2-2)@2.3.2-2+b1?arch=arm64","APPLICATION","debian-target"
"acpi-support-base","0.143-5.2","GPL-2","","","","","","Organization: Josue Ortega <josue@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:acpi-support:0.143-5.2:*:*:*:*:*:*:*","pkg:deb/debian/acpi-support@0.143-5.2?arch=all","cpe:2.3:a:debian:acpi-support:0.143-5.2:*:*:*:*:*:*:*","pkg:deb/debian/acpi-support@0.143-5.2?arch=all","OPERATING_SYSTEM","debian-target"
"acpid","1:2.0.34-1+b2","GPL-2","","","","","","Organization: Josue Ortega <josue@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:acpid (1:2.0.34-1):1:2.0.34-1+b2:*:*:*:*:*:*:*","pkg:deb/debian/acpid (1:2.0.34-1)@1:2.0.34-1+b2?arch=arm64","cpe:2.3:a:debian:acpid (1:2.0.34-1):1:2.0.34-1+b2:*:*:*:*:*:*:*","pkg:deb/debian/acpid (1:2.0.34-1)@1:2.0.34-1+b2?arch=arm64","OPERATING_SYSTEM","debian-target"
"adduser","3.152","GPL-2+","","","","","","Organization: Debian Adduser Developers <adduser@packages.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:adduser:3.152:*:*:*:*:*:*:*","pkg:deb/debian/adduser@3.152?arch=all","cpe:2.3:a:debian:adduser:3.152:*:*:*:*:*:*:*","pkg:deb/debian/adduser@3.152?arch=all","OPERATING_SYSTEM","debian-target"
"adwaita-icon-theme","48.1-1","CC-BY-3.0-US | CC-BY-SA-2.0-IT | CC-BY-SA-3.0 or LGPL-3, and CC-BY-SA-4.0 | CC-BY-SA-3.0-US | CC-BY-SA-3.0-US or LGPL-3 | CC-BY-SA-3.0-Unported | CC-BY-SA-4.0 | GFDL-1.2+ | GFDL-1.2+ or CC-BY-SA-3.0-Unported or CC-BY-SA-2.0-IT, and CC-BY-3.0-US | GPL-2 | GPL-3+ | GPL-unspecified","","","","","","Organization: Debian GNOME Maintainers <pkg-gnome-maintainers@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:adwaita-icon-theme:48.1-1:*:*:*:*:*:*:*","pkg:deb/debian/adwaita-icon-theme@48.1-1?arch=all","cpe:2.3:a:debian:adwaita-icon-theme:48.1-1:*:*:*:*:*:*:*","pkg:deb/debian/adwaita-icon-theme@48.1-1?arch=all","APPLICATION","debian-target"
"alsa-utils","1.2.14-1","GPL-2 | LGPL-2+","","","","","","Organization: Debian ALSA Maintainers <pkg-alsa-devel@lists.alioth.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:alsa-utils:1.2.14-1:*:*:*:*:*:*:*","pkg:deb/debian/alsa-utils@1.2.14-1?arch=arm64","cpe:2.3:a:debian:alsa-utils:1.2.14-1:*:*:*:*:*:*:*","pkg:deb/debian/alsa-utils@1.2.14-1?arch=arm64","APPLICATION","debian-target"
"anacron","2.3-43","GPL-2+","","","","","","Organization: Lance Lin <lq27267@gmail.com>","Copyright (c) Debian contributors","cpe:2.3:a:debian:anacron:2.3-43:*:*:*:*:*:*:*","pkg:deb/debian/anacron@2.3-43?arch=arm64","cpe:2.3:a:debian:anacron:2.3-43:*:*:*:*:*:*:*","pkg:deb/debian/anacron@2.3-43?arch=arm64","OPERATING_SYSTEM","debian-target"
"appstream","1.0.5-1","FSFAP | GPL-2+ | GPL-2+ and LGPL-2.1+ | LGPL-2.1+ | SIL-1.1","","","","","","Organization: Matthias Klumpp <mak@debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:appstream:1.0.5-1:*:*:*:*:*:*:*","pkg:deb/debian/appstream@1.0.5-1?arch=arm64","cpe:2.3:a:debian:appstream:1.0.5-1:*:*:*:*:*:*:*","pkg:deb/debian/appstream@1.0.5-1?arch=arm64","OPERATING_SYSTEM","debian-target"
"apt","3.0.3","BSD-3-clause | Expat | GPL-2 | GPL-2+ | GPL-2+ and curl | curl","","","","","","Organization: APT Development Team <deity@lists.debian.org>","Copyright (c) Debian contributors","cpe:2.3:a:debian:apt:3.0.3:*:*:*:*:*:*:*","pkg:deb/debian/apt@3.0.3?arch=arm64","cpe:2.3:a:debian:apt:3.0.3:*:*:*:*:*:*:*","pkg:deb/debian/apt@3.0.3?arch=arm64","OPERATING_SYSTEM","debian-target"
