"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES","SHA256","SUPPLIER","COPYRIGHT_TEXT","CPE_ID","PURL","CPE23_TYPE","PACKAGE_URL","PKG_TYPE","COMPONENT_SCOPE"
"adwaita-icon-theme-symbolic","49.0","LGPL-3.0-only | CC-BY-SA-3.0","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:adwaita-icon-theme:49.0:*:*:*:*:*:*:*","pkg:yocto/core/adwaita-icon-theme@49.0","cpe:2.3:*:*:adwaita-icon-theme:49.0:*:*:*:*:*:*:*","pkg:yocto/core/adwaita-icon-theme@49.0","LIBRARY","yocto-target"
"alsa-conf","1.2.15.3","LGPL-2.1-only & GPL-2.0-or-later","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-lib:1.2.15.3:*:*:*:*:*:*:*","pkg:yocto/core/alsa-lib@1.2.15.3","cpe:2.3:*:*:alsa-lib:1.2.15.3:*:*:*:*:*:*:*","pkg:yocto/core/alsa-lib@1.2.15.3","LIBRARY","yocto-target"
"alsa-plugins-pulseaudio-conf","1.2.12","LGPL-2.1-only & GPL-2.0-or-later","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa:1.2.12:*:*:*:*:*:*:*","pkg:yocto/core/alsa-plugins@1.2.12","cpe:2.3:*:*:alsa:1.2.12:*:*:*:*:*:*:*","pkg:yocto/core/alsa-plugins@1.2.12","LIBRARY","yocto-target"
"alsa-topology-conf","1.2.5.1","BSD-3-Clause","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-topology-conf:1.2.5.1:*:*:*:*:*:*:*","pkg:yocto/core/alsa-topology-conf@1.2.5.1","cpe:2.3:*:*:alsa-topology-conf:1.2.5.1:*:*:*:*:*:*:*","pkg:yocto/core/alsa-topology-conf@1.2.5.1","LIBRARY","yocto-target"
"alsa-ucm-conf","1.2.15.3","BSD-3-Clause","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-ucm-conf:1.2.15.3:*:*:*:*:*:*:*","pkg:yocto/core/alsa-ucm-conf@1.2.15.3","cpe:2.3:*:*:alsa-ucm-conf:1.2.15.3:*:*:*:*:*:*:*","pkg:yocto/core/alsa-ucm-conf@1.2.15.3","LIBRARY","yocto-target"
"alsa-utils","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-aconnect","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-alsa-info","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-alsaconf","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-alsactl","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-alsaloop","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-alsamixer","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-alsatplg","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-alsaucm","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-amidi","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-amixer","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-aplay","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-aseqdump","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-aseqnet","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-aseqsend","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-axfer","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
"alsa-utils-iecset","1.2.15.2","GPL-2.0-only","","","","","","Organization: OpenEmbedded","Copyright (c) OpenEmbedded contributors","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","cpe:2.3:*:*:alsa-utils:1.2.15.2:*:*:*:*:*:*:*","pkg:yocto/core/alsa-utils@1.2.15.2","LIBRARY","yocto-target"
